"link","jenis_pekerjaan","nama_perusahaan","lokasi_perusahaan","kemampuan"
"https://www.techinasia.com/jobs/741ab064-c6d8-44d3-ac7a-603c65f76612","IT QA Automation - Leasing Industry","SIGMATECH","Tangerang, Indonesia","Automation, QA, SQL"
"https://www.techinasia.com/jobs/f23433ff-2913-4485-b79a-b90618552010","Content Marketing Manager","Bitlabs Academy","Tangerang, Indonesia","Digital Marketing, Marketing Communications, Marketing Strategy, Content Marketing, Communication Skills, Business Analysis, Market Research & Analysis, Market Research, Research & Development (R&D)"
"https://www.techinasia.com/jobs/2f15aafb-a419-4dc3-8017-af3119857aa2","Senior DevOps Engineer","PT. Alpha Indo Soft","Jakarta, Indonesia","DevOps, Amazon Web Services (AWS), Redis, Linux, PostgreSQL, Nginx, Git, Github, Jenkins"
"https://www.techinasia.com/jobs/aaf623aa-e1d2-4daa-b51a-8cb15a5efb33","Junior Database Engineer","PT Bimasakti Multi Sinergi","Sidoarjo, Indonesia","SQL, Ubuntu, Data Management, PostgreSQL, Data Analysis"
"https://www.techinasia.com/jobs/8a04e26d-acd2-4632-9bd4-e215d5929889","Graphic Designer Intern","Rocketindo","Jakarta, Indonesia","Marketing Strategy, Content Marketing, Digital Marketing, Communication Skills, Marketing Communications, Sales & Marketing, Project Management"
"https://www.techinasia.com/jobs/088c75ff-c854-4edd-b509-45e15db590d1","Finance Associate","Rukita","Jakarta, Indonesia","Accounts Payable, Corporate Finance, Data Entry"
"https://www.techinasia.com/jobs/f15267f8-c50f-4718-9b4f-a504dca731e4","Corporate Strategist","Finku","Jakarta, Indonesia","Business Analysis, Business Development, Business Strategy, Communication Skills, Project Management, Analytical Skills, Public Speaking & Presentations"
"https://www.techinasia.com/jobs/ca357489-8582-45b7-ae65-6fc0c1c6876c","Video Production Producer","Refocus","Manila, Philippines","Video Creation, Video Production, Video Editing"
"https://www.techinasia.com/jobs/21a9e3b8-2bba-4e95-827b-a9ddac1e080c","Product Manager","KPay Merchant Service Limited","Hong Kong Central, Hong Kong","Product Management, Business Analysis, Digital Marketing, Business Development, Project Management"
"https://www.techinasia.com/jobs/5bbad5d1-9e5e-446e-bd74-3a1baf9ebb8c","Compliance & Risk Manager","KPay Merchant Service Limited","Singapore, Singapore","Project Management, Business Analysis, Sales Strategy & Management, Product Management"
"https://www.techinasia.com/jobs/4d88c61a-c55e-4988-be3c-6c0fbc2aea8e","Business Development Executive (fintech/payment)","KPay Merchant Service Limited","Singapore, Singapore","Sales & Marketing, Business Development, Business Development & Partnerships, Sales Strategy & Management"
"https://www.techinasia.com/jobs/3592f1cf-9229-4718-b078-445d2f5a311a","Business Strategy Manager","KPay Merchant Service Limited","Hong Kong, Hong Kong","Sales Strategy & Management, Marketing Strategy, Business Development & Partnerships, Business Analysis"
"https://www.techinasia.com/jobs/58bd4883-47b9-437b-9174-13dcac5fc29e","IT Security Network - Insurance Industry","SIGMATECH","Jakarta, Indonesia","Security, Cyber Security, Information Security, Network Security, Information Technology, Networking"
"https://www.techinasia.com/jobs/3e08bc50-8b77-4b7d-abcc-dbf36ae2ce5e","CTO or Senior SW Engineer","WILT VENTURE BUILDER PTE. LTD.","Singapore, Singapore (Remote)","Product Management, Business Development, Cloud Computing, Front-end Development, Backend Development, SaaS, Enterprise Software"
"https://www.techinasia.com/jobs/6bc4cd55-86d5-483d-af89-069aa78489b0","Senior ReactJS Developer","Indocyber Global Teknologi","Jakarta, Indonesia","React.js, Web Development, Front-end Development"
"https://www.techinasia.com/jobs/a03ad2ed-c053-4c3f-955f-7ee5dfbf4983","Project Implementation Officer - Project Manager","Advotics","Jakarta, Indonesia","Business Analysis, Requirements Analysis, Communication Skills, Information Technology, Embedded Systems, Project Management"
"https://www.techinasia.com/jobs/77661c25-5962-4877-a9d0-4c2fe6d44c8c","Sales - Kudus","MyRobin","Kudus, Indonesia","Sales & Marketing, Marketing Communications, Negotiation"
"https://www.techinasia.com/jobs/fadc982e-e9ac-4c28-a0f6-d77b552031e9","Sales Dagangan - Jepara","MyRobin","Jepara, Indonesia","Sales & Marketing, Marketing Communications, Sales Strategy & Management"
"https://www.techinasia.com/jobs/fb6555b8-26c7-4896-84d9-bd1c9642ea5d","Sales - Demak","MyRobin","Demak, Indonesia","Sales & Marketing, Marketing Communications Sales, Strategy & Management"
